id,surface,nombre_des_chambres,nombre_des_salles_de_bains,haut_standing,terrasse,balcon,etage,parking,ascenseur,jardin,vue_panoramique,climatiseur,chauffage_central,piscine,prix,categorie,latitude,longitude,gouvernorat,delegation
4115,120,0,1,False,True,True,0,False,False,False,False,True,True,False,270000,appartement,36.8656931,10.1687265,ariana ville,borj louzir
4116,130,0,1,False,True,False,0,True,False,False,True,True,True,False,270000,appartement,36.8512722,10.1852853,ariana ville,nouvelle ariana
4117,160,3,1,False,True,False,6,True,True,False,True,True,True,False,449000,appartement,35.8473584,10.5796445,sahloul,Non spécifié
4118,280,5,2,False,True,False,7,True,True,False,True,False,False,False,425000,appartement,35.8473584,10.5796445,sahloul,Non spécifié
4119,64,1,1,False,True,False,0,False,True,False,False,True,True,False,225000,appartement,36.8749751,10.2454267,la soukra,la soukra
4120,150,4,2,False,False,False,1,False,False,False,False,True,False,False,220000,appartement,36.8008217,10.199351,tunis,bab bhar
4121,75,2,1,False,False,False,5,False,True,True,False,True,True,False,220000,appartement,36.8790882,10.327678,la marsa,cité el moustakbal sidi daoud
4122,121,2,1,False,True,False,0,True,True,False,False,True,True,False,505000,appartement,36.8790882,10.327678,la marsa,ain zaghouan nord
4123,88,1,1,False,True,False,3,True,True,False,False,True,True,False,250000,appartement,36.8479251,10.2611996,la marsa,aouina
4124,110,2,1,False,True,False,0,False,True,False,False,True,True,False,440000,appartement,35.8473584,10.5796445,sahloul,Non spécifié
4125,100,2,2,False,True,True,2,False,True,False,True,True,True,False,225000,appartement,36.0317203,10.5064796,hergla,Non spécifié
4126,40,1,1,False,True,False,1,False,False,False,False,True,False,True,179000,appartement,35.8913101,10.5852113,hammam sousse,el kantaoui
4127,122,2,2,False,True,True,2,True,True,False,False,True,True,False,450000,appartement,36.8790882,10.327678,la marsa,cité el moez
4128,90,0,1,False,False,False,0,False,False,False,False,False,False,False,147000,appartement,36.8656931,10.1687265,ariana ville,Non spécifié
4129,162,3,2,False,True,True,0,True,True,False,False,False,False,True,585000,appartement,36.4356376,10.6322692,hammamet,hammamet nord
4130,139,3,2,False,False,False,0,False,False,False,False,False,False,False,529000,appartement,36.8749751,10.2454267,la soukra,la soukra
4131,115,2,1,False,False,False,0,False,False,False,False,False,False,False,500000,appartement,36.8790882,10.327678,la marsa,ain zaghouan nord
4132,0,3,3,False,True,True,0,True,True,False,False,True,True,False,1300000,appartement,36.8790882,10.327678,la marsa,les berges du lac 2
4133,63,1,1,False,True,False,0,True,True,False,False,True,True,False,340000,appartement,36.8790882,10.327678,la marsa,ain zaghouan nord
4134,159,3,2,False,True,True,0,True,True,True,True,True,False,False,580000,appartement,36.8348312,10.3181518,le kram,Non spécifié
4135,75,2,1,False,False,False,0,False,False,False,False,True,True,False,250000,appartement,36.4012665,10.5572827,hammamet,hammamet
4136,75,2,1,False,True,True,1,False,False,True,True,False,False,False,290000,appartement,36.9545614,8.7573829,tabarka,tabarka ville
4137,97,3,1,False,True,True,0,True,False,False,False,True,True,False,220000,appartement,36.8267841,10.1939122,cité el khadra,cité olympique
4138,164,3,2,False,True,False,6,True,True,False,True,True,True,True,576000,appartement,35.9167222,10.572696,akouda,tantana
4139,90,1,1,False,True,True,2,True,False,False,True,True,True,False,320000,appartement,36.4356376,10.6322692,hammamet,hammamet nord
4140,122,2,1,False,True,True,1,False,False,False,True,True,False,False,220000,appartement,35.9052411,10.5620745,akouda,chott meriem
