surface,nombre_chambres,nombre_salle_bain,parking,piscine,vue_panoramique,jardin,climatisation,chauffage,ascenseur,etat,neuf,balcon,terrasse,haut_standing,price,area,url
150,3,3,False,True,False,True,False,False,False,Non spécifié,False,False,False,True,604 877 TND,"ElKantaouià
				HammamSousse",https://www.mubawab.tn/fr/pa/8243280/appartement-en-vente-%C3%A0-el-kantaoui-superficie-150-m%C2%B2
132,3,3,False,True,False,True,False,False,False,Non spécifié,False,False,False,True,620 152 TND,"ElKantaouià
				HammamSousse",https://www.mubawab.tn/fr/pa/8243278/appartement-%C3%A0-l-achat-%C3%A0-el-kantaoui-3-chambres
150,3,3,False,True,False,True,False,False,False,Non spécifié,False,False,False,True,621 626 TND,"ElKantaouià
				HammamSousse",https://www.mubawab.tn/fr/pa/8243275/bel-appartement-%C3%A0-vendre-%C3%A0-el-kantaoui-3-chambres-agr%C3%A9ables
148,3,3,False,True,False,True,False,False,False,Non spécifié,False,False,False,True,605 561 TND,"ElKantaouià
				HammamSousse",https://www.mubawab.tn/fr/pa/8243276/vente-d-un-bel-appartement-%C3%A0-el-kantaoui-3-belles-chambres
133,3,1,False,True,False,True,True,True,True,Nouveau,True,False,True,True,525 350 TND,"ElKantaouià
				HammamSousse",https://www.mubawab.tn/fr/pa/7670715/superbe-s3-%C3%A0-kantaoui
97,2,2,False,True,False,True,True,True,True,Nouveau,True,False,True,True,383 600 TND,"ElKantaouià
				HammamSousse",https://www.mubawab.tn/fr/pa/7670699/unique-appartement-s2-%C3%A0-1-min-de-la-plage
1150,2,1,False,False,False,False,False,False,False,À rénover,False,False,False,False,2 500 000 TND,"Républiqueà
				Tunis",https://www.mubawab.tn/fr/a/8190179/immeuble-de-40-appartements-centre-ville-tunis
138,3,2,False,True,False,True,True,True,True,Nouveau,True,False,True,False,442 000 TND,"RouteTeniourà
				SfaxVille",https://www.mubawab.tn/fr/a/8242539/s3-direct-promoteur-sfax
170,3,3,False,False,False,False,True,True,True,Nouveau,True,False,True,False,650 000 TND,"CitéEnnasr2à
				ArianaVille",https://www.mubawab.tn/fr/a/8257656/s3-avec-terrasse-direct-promoteur-ennasr
150,4,1,False,False,False,False,True,True,True,Bon état,False,False,True,False,180 000 TND,"RadesForetà
				Rades",https://www.mubawab.tn/fr/a/8047268/rades-f%C3%B4ret-vente-spacieux-s3-de-150m2
67,2,1,False,False,False,False,True,True,False,Bon état,False,False,True,False,245 000 TND,Tantana,https://www.mubawab.tn/fr/a/8271175/appart-s2-au-rdc-avec-place-de-parking-%C3%A0-vendre
