id,surface,nombre_des_chambres,nombre_des_salles_de_bains,haut_standing,terrasse,balcon,etage,parking,ascenseur,jardin,vue_panoramique,climatiseur,chauffage_central,piscine,prix,categorie,latitude,longitude,gouvernorat
1063,166,3,2,0,0,0,6,0,1,1,0,1,1,0,831000,1,36.8547834,10.2985614,Ariana
1067,231,4,3,0,1,1,0,1,1,1,0,1,1,0,980000,1,36.8547834,10.2985614,Ariana
1068,273,3,5,0,1,0,1,1,0,1,0,1,1,0,1880000,1,36.8547834,10.2985614,Ariana
1070,228,3,3,0,1,0,0,1,1,1,0,1,1,0,795000,1,36.8547834,10.2985614,Ariana
1074,65,1,1,0,1,1,6,1,1,1,0,1,1,1,340000,1,36.8547834,10.2985614,Ariana
1107,200,3,2,0,1,1,0,1,1,1,0,1,1,0,720000,1,36.8547834,10.2985614,Ariana
1109,159,3,3,0,1,1,0,1,1,1,1,1,1,0,650000,1,36.8547834,10.2985614,Ariana
1123,292,3,2,0,1,1,0,1,1,1,0,1,1,0,1400000,1,36.8547834,10.2985614,Ariana
1127,149,3,3,0,1,1,0,1,1,1,0,1,1,0,650000,1,36.8547834,10.2985614,Ariana
1129,158,3,3,0,1,0,0,1,1,1,0,1,1,0,675000,1,36.8547834,10.2985614,Ariana
1130,244,4,3,0,1,1,0,1,0,1,0,1,1,1,1650000,1,36.8547834,10.2985614,Ariana
1150,250,4,3,0,1,1,0,1,1,1,0,1,1,0,840000,1,36.8547834,10.2985614,Ariana
1153,69,1,1,0,1,1,7,1,1,1,0,1,1,0,391379,1,36.8547834,10.2985614,Ariana
1175,185,3,3,0,1,1,4,1,1,0,0,1,1,0,790000,1,36.8547834,10.2985614,Ariana
1176,158,2,2,0,1,1,2,1,1,0,0,1,1,0,670000,1,36.8547834,10.2985614,Ariana
1205,134,2,2,0,0,0,6,0,1,1,0,1,1,0,674000,1,36.8547834,10.2985614,Ariana
1208,120,0,1,0,0,0,0,1,1,0,0,1,1,0,420000,1,36.8547834,10.2985614,Ariana
1209,158,0,1,0,0,0,0,1,0,1,0,0,0,0,675000,1,36.8547834,10.2985614,Ariana
1210,175,0,1,0,1,1,1,1,0,1,0,1,1,0,960000,1,36.8547834,10.2985614,Ariana
1227,147,3,3,0,1,1,0,1,1,1,0,1,1,0,595000,1,36.8547834,10.2985614,Ariana
1228,118,2,2,0,1,0,0,1,1,1,1,1,1,0,576000,1,36.8547834,10.2985614,Ariana
1230,110,2,1,0,1,1,0,1,1,0,0,1,1,1,590000,1,36.8547834,10.2985614,Ariana
1274,168,2,3,0,1,1,0,1,1,1,0,1,1,0,823000,1,36.8547834,10.2985614,Ariana
1293,190,3,1,0,1,1,0,0,0,1,0,0,0,0,685000,1,36.8547834,10.2985614,Ariana
1304,75,1,1,0,1,1,0,0,0,1,1,0,0,0,420000,1,36.8547834,10.2985614,Ariana
