prix,categorie,surface,nombre_des_chambres,nombre_des_salles_de_bains,haut_standing,terrasse,balcon,etage,parking,ascenseur,jardin,vue_panoramique,climatiseur,chauffage_central,piscine,lat,lon
240000,1,110.0,3.0,1.0,1,1,0,3.0,1,0,0,0,1,1,0,36.7642,10.2813
485000,1,128.0,2.0,2.0,0,0,1,2.0,1,0,0,0,0,0,0,36.8491,10.2959
345000,1,130.0,2.0,2.0,0,0,1,1.0,1,1,0,0,1,1,0,36.8643,10.1668
750000,0,247.0,3.0,2.0,1,0,0,0.0,1,0,1,0,1,1,1,36.882,10.2306
210000,1,90.0,2.0,2.0,0,0,0,4.0,1,0,0,0,0,0,0,36.8385,10.1953
835000,1,180.0,3.0,2.0,1,0,1,5.0,1,0,0,1,1,1,0,36.8646,10.1552
167000,1,63.0,1.0,1.0,1,0,0,1.0,1,0,0,0,0,0,0,36.7356,10.2489
155000,1,129.0,3.0,1.0,0,0,1,4.0,1,0,0,0,1,0,0,36.8652,10.1854
315000,1,117.0,2.0,2.0,0,0,0,3.0,1,0,0,0,1,1,0,36.8582,10.1612
135000,1,81.0,2.0,1.0,0,0,1,0.0,1,0,0,0,0,0,0,36.8088,10.1026
340000,1,166.0,3.0,1.0,0,0,1,6.0,1,1,0,0,1,1,0,36.8316,10.1889
128000,1,100.0,2.0,1.0,0,0,0,1.0,1,0,0,0,0,0,0,36.7364,10.2431
147000,1,65.0,2.0,1.0,0,0,0,0.0,1,0,0,0,0,0,0,36.826,10.1963
185000,1,100.0,2.0,1.0,0,1,0,0.0,1,0,0,0,0,0,0,36.7113,10.4215
250000,1,117.0,3.0,2.0,1,0,1,4.0,1,1,0,0,0,0,0,36.882,10.1953
370000,1,123.0,2.0,2.0,1,1,1,4.0,1,0,0,0,1,1,0,36.8641,10.2726
550000,1,145.0,3.0,1.0,0,0,1,5.0,1,0,0,0,0,0,0,36.8544,10.2988
315000,1,127.0,2.0,1.0,1,0,0,2.0,1,1,0,1,0,0,0,36.7391,10.2528
290000,1,111.0,2.0,1.0,1,1,0,4.0,1,1,0,0,0,0,0,36.8141,10.0764
280000,1,125.0,3.0,1.0,1,1,0,1.0,1,0,0,0,1,1,0,36.8374,10.1914
135000,1,100.0,2.0,1.0,0,0,1,4.0,1,0,0,0,0,0,0,36.7618,10.2575
200000,1,80.0,2.0,1.0,0,0,0,0.0,1,0,0,0,0,1,0,36.7366,10.2479
190000,1,126.0,2.0,2.0,0,0,1,4.0,1,0,0,0,0,1,0,36.7054,10.4072
450000,1,126.0,2.0,1.0,1,0,1,6.0,1,0,0,0,1,1,0,36.8626,10.291
175000,1,91.0,2.0,1.0,0,0,1,1.0,1,0,0,0,0,1,0,36.7587,10.2823
280000,1,120.0,3.0,1.0,0,0,0,1.0,1,1,0,0,0,1,0,36.8605,10.276
165000,1,88.0,2.0,1.0,1,0,0,2.0,1,0,0,0,0,0,0,36.8,10.1073
147000,1,90.0,3.0,1.0,0,0,0,3.0,1,0,0,0,0,0,0,36.9111,10.1856
390000,1,150.0,3.0,1.0,1,0,1,2.0,1,0,0,0,0,1,0,36.7565,10.2796
650000,1,159.0,3.0,3.0,1,0,0,1.0,1,0,0,0,1,1,0,36.8573,10.3024
273000,1,61.0,1.0,1.0,1,0,1,2.0,1,0,0,0,1,1,0,36.8632,10.1513
140000,1,79.0,2.0,1.0,0,0,0,4.0,1,0,0,1,0,0,0,36.737,10.2427
200000,1,67.0,1.0,1.0,1,0,1,1.0,1,0,0,0,1,1,0,36.8054,10.0919
450000,1,110.0,3.0,2.0,0,1,0,0.0,1,0,1,0,0,1,0,36.708,10.411
290000,1,145.0,3.0,2.0,1,0,1,4.0,1,1,0,0,0,0,0,36.7394,10.2518
1200000,1,290.0,5.0,3.0,1,1,0,0.0,1,0,1,0,1,1,1,36.8622,10.1502
315000,1,116.0,2.0,2.0,1,0,0,2.0,1,0,0,0,1,1,0,36.8642,10.268
280000,1,80.0,2.0,1.0,1,0,1,2.0,1,0,0,0,0,0,0,36.7636,10.2865
230000,1,100.0,3.0,1.0,0,0,1,3.0,1,0,0,0,1,0,0,36.755,10.2739
899000,1,131.0,3.0,3.0,1,1,1,2.0,1,0,0,0,1,1,0,36.85,10.3003
197000,1,72.0,1.0,1.0,1,0,1,3.0,1,1,0,0,1,1,0,36.8957,10.178
850000,1,160.0,3.0,2.0,1,0,0,0.0,1,0,0,0,0,0,0,36.8515,10.2976
