prix,categorie,surface,nombre_des_chambres,nombre_des_salles_de_bains,haut_standing,terrasse,balcon,etage,parking,ascenseur,jardin,vue_panoramique,climatiseur,chauffage_central,piscine,lat,lon
1111111.0,0,200.0,3.0,1.0,1,1,0,1,1,0,1,0,0,0,0,33.8439408,9.400138
1000000.0,0,400.0,9.0,7.0,1,0,0,3,1,0,1,0,0,0,1,36.7189536,10.3642733
28343000.0,0,620.0,3.0,2.0,0,0,0,0,0,0,1,0,0,0,0,36.7404497,10.3029461
800000.0,0,413.0,8.0,3.0,0,0,0,1,0,0,0,0,0,0,0,36.767891,10.2724617
310000.0,1,180.0,4.0,2.0,0,0,0,0,0,0,0,0,0,0,0,36.742946,10.2507635
280000.0,0,140.0,3.0,1.0,0,0,0,1,0,0,0,0,0,0,0,36.8142752,10.1374251
480000.0,1,85.0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,36.8811985,10.211819
1800000.0,0,400.0,6.0,6.0,0,1,1,3,1,0,0,0,1,1,1,36.9051527,10.2982512
790000.0,0,544.0,9.0,4.0,0,1,1,2,1,0,0,0,0,0,1,36.7189536,10.3642733
570000.0,0,138.0,4.0,1.0,0,0,0,0,0,0,0,0,0,0,0,36.8790882,10.327678
560000.0,1,167.0,4.0,2.0,0,0,0,0,1,0,1,0,0,0,0,36.8815146,10.170871
100000.0,0,446.0,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,36.7571648,10.014927
430000.0,0,671.0,4.0,1.0,0,0,0,0,1,0,0,0,0,0,0,36.587213299999995,10.2437597
280000.0,0,249.0,4.0,1.0,0,1,0,0,1,0,1,0,0,0,0,36.8346533,10.129857933607912
366000.0,1,145.3,2.0,2.0,1,1,0,3,1,1,0,0,1,1,0,36.8113307,10.0947037
1800000.0,0,587.0,4.0,2.0,1,1,0,0,0,0,1,0,1,1,1,36.8423974,10.1571247
640000.0,0,260.0,8.0,3.0,0,0,0,0,1,0,1,1,0,0,0,36.8113307,10.0947037
1380000.0,0,300.0,4.0,3.0,0,0,0,2,1,0,1,0,1,1,1,36.8811985,10.211819
870000.0,0,404.0,8.0,4.0,0,0,0,3,0,0,1,0,0,0,0,36.8568947,10.1725737
680000.0,0,400.0,6.0,3.0,1,0,1,2,1,0,1,0,0,0,0,36.8142752,10.1374251
300000.0,0,170.0,5.0,2.0,0,1,0,2,0,0,0,0,1,1,0,36.8606537,10.2087006
1300000.0,0,387.0,3.0,2.0,0,0,0,1,0,0,0,0,0,0,0,36.8334618,10.1708613
3000000.0,0,564.0,5.0,3.0,0,0,0,3,1,0,0,0,0,0,0,36.8668995,10.15447030677053
680000.0,0,227.0,4.0,2.0,0,1,0,2,1,0,0,0,0,0,0,36.8270836,10.126886
850000.0,0,285.0,4.0,4.0,1,0,0,0,1,0,1,0,0,0,0,36.8790882,10.327678
310000.0,0,260.0,5.0,3.0,0,1,0,3,0,0,0,0,0,0,0,36.8348312,10.3181518
375000.0,0,188.0,3.0,2.0,0,1,0,2,1,0,0,0,0,0,0,36.6306483,10.2100827
870000.0,0,170.0,5.0,3.0,1,1,0,2,1,0,1,0,1,1,1,36.8790882,10.327678
668000000.0,0,3000.0,8.0,2.0,0,0,0,2,0,0,0,0,0,0,0,36.81791,10.2127219
450000.0,0,341.0,5.0,2.0,0,0,0,0,0,0,0,0,0,1,0,36.68123,10.3784719
260000.0,0,400.0,3.0,1.0,0,0,0,0,0,0,1,0,0,0,0,36.9535973,10.1891941
480000.0,1,200.0,3.0,3.0,1,0,1,2,1,0,1,0,1,1,0,36.767891,10.2724617
170000.0,1,60.0,3.0,2.0,0,0,0,2,0,0,0,0,0,0,0,36.8790882,10.327678
130000.0,1,117.0,2.0,2.0,0,0,0,0,0,0,0,0,0,0,0,36.8166554,10.1108343
420000.0,0,170.0,3.0,2.0,0,0,0,1,0,0,1,0,1,1,0,36.8568947,10.1725737
950000.0,0,660.0,14.0,6.0,1,0,1,3,1,0,0,0,0,0,0,36.742946,10.2507635
300000.0,0,227.0,4.0,2.0,0,1,0,0,0,0,0,0,0,0,0,36.8142752,10.1374251
720000.0,0,325.0,7.0,4.0,0,1,0,2,1,0,1,0,0,0,0,36.8606537,10.2087006
890000.0,0,781.0,7.0,2.0,0,0,0,2,0,0,1,0,0,1,0,36.7897886,10.1707683
470000.0,0,150.0,7.0,3.0,0,1,0,3,1,0,1,0,0,0,0,36.8346533,10.129857933607912
985000.0,0,546.0,4.0,2.0,1,0,0,0,1,0,1,0,0,0,1,36.8852466,10.2438059
300000.0,1,150.0,4.0,2.0,0,0,1,0,0,0,0,0,0,0,0,36.8606537,10.2087006
539994.0,1,128.57,3.0,2.0,1,1,0,2,1,1,0,0,1,1,0,36.8348312,10.3181518
730000.0,0,330.0,6.0,4.0,0,1,0,1,1,0,1,0,0,0,0,36.8142752,10.1374251
320000.0,0,307.0,2.0,1.0,0,0,0,0,0,0,1,0,0,0,0,36.8010998,10.1095729
850000.0,0,404.0,9.0,3.0,0,0,0,3,0,0,0,0,0,0,0,36.8568947,10.1725737
450000.0,1,160.0,4.0,3.0,0,0,0,2,1,0,0,0,1,1,0,36.88266445,10.179112983298108
400000.0,0,220.0,2.0,1.0,0,0,0,2,0,0,0,0,0,0,0,36.8533475,10.1169734
95000.0,0,50.0,1.0,1.0,0,0,0,2,0,0,0,0,0,0,0,36.8059497,10.1624584
799999.0,0,413.0,5.0,1.0,0,0,0,1,0,0,0,0,0,0,0,36.767891,10.2724617
1150000.0,0,327.0,4.0,3.0,1,1,0,2,0,0,1,0,0,0,1,36.8142752,10.1374251
1750000.0,0,637.0,5.0,3.0,0,0,0,2,1,0,1,0,0,0,0,36.8790882,10.327678
600000.0,0,500.0,3.0,2.0,0,0,0,0,1,0,1,0,0,0,0,36.8166554,10.1108343
580000.0,0,486.0,5.0,2.0,0,1,0,2,0,0,0,0,0,0,0,36.8749751,10.2454267
360000.0,1,150.0,3.0,2.0,0,0,0,2,1,0,0,0,0,1,0,36.8749751,10.2454267
155000.0,0,130.0,6.0,2.0,0,0,1,2,1,0,0,0,0,0,0,36.8533475,10.1169734
162000.0,0,200.0,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,36.9535973,10.1891941
440000.0,0,388.0,4.0,3.0,1,1,0,2,1,0,1,0,1,1,0,36.8749751,10.2454267
850000.0,0,350.0,4.0,3.0,0,0,0,0,1,0,1,0,1,1,0,36.8749751,10.2454267
1500000000.0,0,453.0,6.0,3.0,0,0,0,0,1,0,0,0,0,1,0,36.83561325,10.158361532128072
340000.0,0,180.0,4.0,3.0,0,0,0,2,1,0,0,0,0,0,0,36.8606537,10.2087006
675000.0,0,423.0,7.0,3.0,0,1,1,1,1,0,1,0,1,0,0,36.8142752,10.1374251
250000.0,0,306.0,4.0,1.0,0,0,0,1,0,0,0,0,0,0,0,36.8297587,10.0128966
450000.0,0,250.0,7.0,3.0,0,0,0,3,0,0,0,0,0,0,0,36.6987224,10.1693582
190000.0,0,120.0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,36.9535973,10.1891941
370000.0,0,317.0,7.0,2.0,0,0,0,0,0,0,0,0,0,0,0,36.8159313,10.101251490929902
380000.0,0,168.0,2.0,2.0,0,0,0,0,0,0,0,0,0,1,0,36.6987224,10.1693582
170000.0,1,131.0,2.0,1.0,0,0,0,0,0,0,1,0,0,0,0,36.8749751,10.2454267
1600000.0,0,491.0,8.0,2.0,0,0,0,2,1,0,0,0,0,1,0,36.8235494,10.1808024
