id,nombre_des_chambres_df_results,nombre_des_chambres_df_final
6939a553cd04d08be748c3f2,3,3.0
6937fe5b8914daae51987338,4,4.0
69385548cd04d08be7483737,3,4.0
691319b8265523b710e2749f,4,4.0
6938324f8914daae519898bc,4,5.0
69381969cd04d08be7480d0c,8,12.0
693825f28914daae51988f94,2,6.0
69382d6f8914daae5198952b,4,4.0
6938471ecd04d08be7482f68,7,4.0
679b9e4ea487ea2259c19664,6,7.0
6938116bcd04d08be7480877,3,4.0
693700498914daae51980ae3,3,2.0
69370d288914daae51981362,0,7.0
69258e3d145e1617cbac0f6b,2,2.0
6936d4da8914daae5197e9a0,0,7.0
6936ced68914daae5197e516,0,6.0
69174ccd145e1617cba59947,3,3.0
6937ecf0cd04d08be747eba7,2,2.0
6936faa1cd04d08be7478d4c,2,2.0
682dddb76238a0abfdd47200,7,8.0
6936f59f8914daae519803e3,7,3.0
69370216cd04d08be7479193,3,3.0
69373412cd04d08be747b3cc,2,3.0
6937f327cd04d08be747f032,0,3.0
69365de08914daae5197ac4c,3,3.0
66db19c667b755ba921ac4d8,3,4.0
6936a917cd04d08be7475133,3,7.0
6935e7c78914daae5197931d,3,4.0
6936c522cd04d08be7476417,4,5.0
69365ef88914daae5197ac72,0,1.0
69369cf68914daae5197c350,0,8.0
69365d4a8914daae5197ac37,0,5.0
6935bdff8914daae51977a37,4,7.0
6935f70bcd04d08be7472086,0,5.0
6935edd28914daae519796ac,5,6.0
67cacfdf93928ac5bc1870c5,6,3.0
67361b153c20a99fb5500bb2,3,7.0
693629bacd04d08be7472d30,3,4.0
6935d3d78914daae519785cd,5,3.0
68c80044516f1ddb82da9b6d,6,6.0
692f0719265523b710ee9780,0,4.0
6934abaccd04d08be746a6f8,8,4.0
693461288914daae5196f842,0,4.0
693413c1cd04d08be74654cf,1,2.0
69342aef8914daae5196dc8d,0,10.0
68f62050b756576ab404a7a8,3,4.0
693546fc8914daae5197407e,4,5.0
685030018bda81f7f5ddf6f6,0,7.0
6821ba04cb21b3571b421a9a,4,5.0
685128450e1c20e3eb0bd78a,5,5.0
69356aa68914daae519750b5,0,1.0
6918395e265523b710e526af,6,5.0
6935bb7e8914daae5197791c,0,2.0
69357498cd04d08be746d9ec,0,3.0
69276a02145e1617cbacb81e,3,3.0
693418f5cd04d08be7465750,3,7.0
69346bdbcd04d08be74682d2,8,4.0
68ef91573e7ffb8ac15b77d6,4,5.0
6932e54a8914daae5196574e,3,3.0
68e9206653fa6375757974f1,4,4.0
69340d108914daae5196cc5d,0,2.0
68f383fbd0d95991e1ff9b74,0,6.0
69189dc6265523b710e5608c,4,5.0
6932dc1dcd04d08be745d8a3,3,3.0
6932bdafcd04d08be745c78e,2,3.0
693303938914daae51966a03,2,3.0
68bf01fdc4782c5427ae9adc,0,7.0
693306dccd04d08be745f2ac,5,5.0
68bc3f47985e647fd0e8f49d,3,4.0
69330ba1cd04d08be745f52a,3,6.0
69208ebf145e1617cba9f0e6,0,5.0
6933f808cd04d08be7464553,0,5.0
6932da50cd04d08be745d78c,3,3.0
69340e6dcd04d08be74651ed,4,4.0
691eeb2c265523b710e8392c,4,5.0
68de3a416c505afdc05c7c2d,4,5.0
693141d1145e1617cbb0472b,4,4.0
69315435145e1617cbb05082,5,9.0
68d65b35516f1ddb82e377c8,16,16.0
6931d331265523b710efc8cc,3,4.0
6931a7d5265523b710efb2d3,1,1.0
69314f65145e1617cbb04dc1,2,3.0
6931ddc3145e1617cbb0a052,4,9.0
6931d371265523b710efc8f0,3,4.0
693191a2265523b710efa62c,5,2.0
6931aaee145e1617cbb087a0,0,8.0
692d5781145e1617cbaea371,3,5.0
6931ab9a145e1617cbb08809,0,2.0
69300eb9265523b710eefd9b,7,8.0
68e0d4c7e7035d31a40eedf4,3,3.0
693063ed265523b710ef3021,0,1.0
685455d38a733cfc286ebd5d,3,3.0
69302a82145e1617cbafe305,0,3.0
69304fb2265523b710ef24a2,4,6.0
68bc5851c4782c5427ad08da,3,3.0
692f7038145e1617cbafa5a6,0,3.0
692d544a265523b710edcbd9,6,9.0
69301d87265523b710ef07fe,5,5.0
692f79f1265523b710eed34b,4,4.0
692f251b145e1617cbaf7dba,6,12.0
6930e3f9145e1617cbb038f7,3,6.0
68ce751407c7711d7c71145a,6,6.0
692f054b145e1617cbaf6b1b,3,3.0
693066c1145e1617cbb0054b,0,9.0
692efe80265523b710ee91ba,3,3.0
692d7f70145e1617cbaebcc8,3,4.0
692dbcf2145e1617cbaee11b,5,10.0
692ecf0d145e1617cbaf4998,5,5.0
692eab23145e1617cbaf315c,5,10.0
6924415eda5d3acb89b3377a,8,9.0
692db450265523b710ee05c0,2,4.0
692ee5ff265523b710ee8193,0,7.0
68fb870bd0d95991e10411da,3,3.0
692dd570145e1617cbaeeefd,0,4.0
692d69a6265523b710edd899,3,4.0
691f82c8145e1617cba97c87,3,9.0
692d7f45265523b710ede679,3,3.0
692eac31145e1617cbaf3205,4,4.0
692d7d8a265523b710ede565,0,4.0
692dba9f265523b710ee09ad,8,9.0
692d57e0265523b710edcd57,4,4.0
69023361d0d95991e107a24e,0,5.0
692c58f4145e1617cbae5b27,0,5.0
692c366f145e1617cbae4c59,0,1.0
692ae766265523b710ed14af,2,2.0
69244122145e1617cbab9bea,6,8.0
692c96b7265523b710ed9e4b,5,6.0
692c3a2d145e1617cbae4e4e,4,5.0
692c7b373f69a851e0bb46f6,0,1.0
690a2e8e6490817594e37938,4,3.0
692b543c145e1617cbae18b7,4,4.0
68deb88a6c505afdc05cbd39,0,3.0
692c34c13872f35e61c47bf9,0,13.0
692b6623145e1617cbae1f36,4,5.0
692c5102265523b710ed81a1,4,3.0
692c3a30265523b710ed7815,4,4.0
692c7acc145e1617cbae686e,0,3.0
692c5f46265523b710ed87d0,4,4.0
692c3a86265523b710ed783a,0,8.0
6913a608145e1617cba3b68f,5,7.0
6711244e1cde9a414fa9438c,6,8.0
6929f0a6265523b710ecc5e6,4,4.0
69221023145e1617cbaa981b,4,3.0
6929822e145e1617cbad6a9d,7,6.0
67b83bbbbf049e957eabc6ff,3,4.0
6929ab43f6824a8059169b08,3,3.0
687237fed5464a896ca9c97d,8,8.0
681f3268a9299683d0a944d0,3,3.0
6929d4b9145e1617cbad90e4,5,5.0
6929e4c2265523b710ecc196,0,4.0
68da6ea974e03a77e7ab8414,2,9.0
68023682c1f8f57898db1d01,5,5.0
68e52f0fe7035d31a41187b4,3,4.0
691d77e8265523b710e77703,4,6.0
692ac16d265523b710ed0210,7,10.0
6929a2287c1b75e049921517,0,2.0
69289a3b265523b710ec4739,4,4.0
690b66948e4e0e4acb5ddcfa,3,5.0
68d3fad507c7711d7c74a01a,3,3.0
69295c0c145e1617cbad57ca,0,7.0
68b0848a82a3d05f2394ce9b,0,5.0
6929020b145e1617cbad4952,3,4.0
692883d9465e3fc37e6e85d3,5,7.0
6928761a265523b710ec3550,4,4.0
69273820145e1617cbaca2eb,7,7.0
69280ffb265523b710ec0673,6,8.0
692733bd265523b710ebc9a1,2,3.0
6926055d145e1617cbac456f,2,2.0
69272fd8265523b710ebc816,2,3.0
69282dee265523b710ec164b,4,13.0
687907d5d5464a896caec9be,0,8.0
692750c1265523b710ebd53d,2,3.0
6911f87a145e1617cba29128,3,4.0
6926c6d6265523b710eb9996,0,5.0
69245c18265523b710eacfb7,2,8.0
6925b7ee265523b710eb4afb,3,3.0
68714f13d5464a896ca94e2b,8,7.0
6924d0df145e1617cbabdcac,0,4.0
6924a80a6e0dc7ea5e33db7f,8,8.0
69248e2e145e1617cbabbf4d,3,3.0
692479bdda5d3acb89b35102,6,1.0
692588bf9ae0bfe01c80f03a,7,7.0
6925c6ca145e1617cbac2a33,6,7.0
69257b7f265523b710eb2e41,1,1.0
6924c483145e1617cbabd730,0,4.0
68cc022f07c7711d7c6f9bbc,4,5.0
69258131c988d694371576d3,0,8.0
69208016265523b710e910ad,5,7.0
6925cae5265523b710eb53c8,2,2.0
691d98c8265523b710e79005,3,4.0
692456fe145e1617cbaba560,0,2.0
69233b04265523b710ea494c,3,3.0
6924295a265523b710eab74d,0,7.0
690f55a6145e1617cba01645,4,5.0
6921e69d265523b710e9a9c9,5,5.0
6922ce19265523b710e9ffaa,6,6.0
69232d0b265523b710ea4000,2,2.0
6922e924265523b710ea11e8,4,6.0
6921f784145e1617cbaa89ff,0,1.0
6922fd00265523b710ea1f6f,4,5.0
6922fd3b265523b710ea1f87,4,4.0
68d5810107c7711d7c7592a3,4,5.0
6923416c145e1617cbab242d,0,7.0
6923254e145e1617cbab111b,3,5.0
68d7d777516f1ddb82e469fe,3,4.0
6807ce86c5beda2b51cd3ea9,3,4.0
69206796145e1617cba9d34a,4,4.0
69203646265523b710e8dd69,4,6.0
69204a01145e1617cba9c155,5,3.0
67e133cbca3467b14e6bbf19,3,6.0
68c54779e33e2deec930a3a7,4,8.0
690f4918145e1617cba00725,6,6.0
685acae7d5464a896c9a33e8,3,3.0
69208d23265523b710e91ab5,7,6.0
692159df145e1617cbaa3b9b,3,3.0
68c67604516f1ddb82d9aed5,6,5.0
680cec92c1f8f57898e2b0ad,6,8.0
69201720145e1617cba99f46,5,6.0
69202ea9265523b710e8d6d2,4,4.0
691ee542145e1617cba9091a,2,4.0
687e457bd5464a896cb25ddf,7,8.0
691f6712145e1617cba969fe,0,5.0
68d169e607c7711d7c730412,2,8.0
691e3430265523b710e7f72c,0,3.0
691e9ee2265523b710e81410,2,2.0
68e0ed05e7035d31a40efdc3,3,3.0
691f3f6b265523b710e876ef,4,4.0
67e8801cfd1c6385be402a99,0,6.0
68dabe27516f1ddb82e61aa0,3,2.0
691df5be265523b710e7cd6c,4,12.0
691de5be145e1617cba89674,3,10.0
691daadd145e1617cba86e7c,0,12.0
691cb0eb265523b710e737df,0,2.0
68ac333f032c2f257217fe08,0,1.0
691ca55f265523b710e73151,3,3.0
691df9f0265523b710e7d00b,0,4.0
691cd6fc265523b710e74d62,2,2.0
68c034e3985e647fd0eb576f,0,3.0
691da0284730c4e48bb141f7,3,2.0
691ca173265523b710e72f51,4,4.0
691d93f3145e1617cba85eae,4,4.0
68dab54c07c7711d7c789803,3,4.0
691c9da5145e1617cba80263,3,3.0
691d7dee265523b710e77a98,0,4.0
691b71ba145e1617cba78fc6,7,7.0
691c66e8145e1617cba7f06d,4,4.0
68e6781ee7035d31a4124dce,3,3.0
68b859b1df9d8936c105e877,3,3.0
691b50ef145e1617cba77c19,2,2.0
691b49bd265523b710e6a2aa,0,9.0
6877602dd5464a896cad6946,3,3.0
