id,prix_df_results,prix_df_final
687a2a81d5464a896caf94d1,530000,530000.0
69429672cd04d08be74c63b7,0,250.0
694257f28914daae519cbc60,650000000,650000.0
6852dd0f8a733cfc286dcaf0,1150000,1150000.0
6932d0af8914daae51964b23,0,1800000.0
69426a45cd04d08be74c4ca8,400000,0.0
694143dbcd04d08be74bcba7,3100,3100.0
693c852f8914daae519a813d,0,1250000.0
67877bc97041684afec34d19,630000,630000.0
693296f8cd04d08be745b041,800000,800000.0
678798cb7041684afec3698d,1300000,1300000.0
69383ff08914daae5198a405,130000,130000.0
693c9049cd04d08be74a10c2,650000000,650000.0
6914610a145e1617cba4010d,0,2500000.0
694278398914daae519cc9dc,0,450.0
69429127cd04d08be74c60d9,0,545000.0
67879dcded6f33de58c303a5,2400000,2400000.0
694291c38914daae519cd810,0,420000.0
690b0fb56490817594e3d6d1,0,850000.0
690ce35a8e4e0e4acb5ea7ac,0,1850000.0
693c3d0fcd04d08be749e2e5,350000,350000.0
67879ca7ed6f33de58c302a5,1300000,1300000.0
69416d7c8914daae519c5da2,0,0.0
694195adcd04d08be74c00ed,0,295000.0
69419fc9cd04d08be74c0763,0,600000.0
68ee58843e7ffb8ac15acd0a,1500000,1500000.0
694167cd8914daae519c599c,300,529999.0
694160b08914daae519c5536,0,390000.0
6941b5de8914daae519c8e23,0,0.0
6941a3d48914daae519c80fb,300000000,300000.0
6941856f8914daae519c6dde,430000,430000.0
67c846fe93928ac5bc1709fc,0,0.0
68ff47be88bfe5662475cc53,0,370000.0
68ff494f88bfe5662475cd1b,0,1399999.0
69416b648914daae519c5bf8,0,1300000.0
694153b4cd04d08be74bd632,0,270000.0
68d54ec0516f1ddb82e2e5ed,1280000,1280000.0
6915c21d265523b710e3e67d,0,0.0
6936eef2cd04d08be74784ad,390000,390000.0
6909bf9b8e4e0e4acb5ce6f0,0,0.0
6937cc89cd04d08be747d9f3,280,280000.0
68fb82afb756576ab407ba0b,950,950000.0
6924bb77145e1617cbabd307,950,950000.0
69414b7ecd04d08be74bd0b3,0,120000.0
68b800dddf9d8936c1059732,0,1180.0
68db953d516f1ddb82e6770a,1.6,1600000.0
68d555fc516f1ddb82e2ec8d,0,1250000.0
691f4fd8265523b710e8839b,0,950000.0
68b5832a711369bbe4f59d3b,1400000,1400000.0
69415e7a8914daae519c5398,240000,240000.0
69411a83cd04d08be74bafcc,200000,200.0
6924a46c6e0dc7ea5e33d9ef,0,1500000.0
6903440bb756576ab40bdb04,0,980000.0
69272e5e265523b710ebc76a,0,5500.0
690dc9fe145e1617cb9e786c,0,295000.0
679369766286c2414574dd31,0,480000.0
690cdc4f8e4e0e4acb5ea2e7,0,1600000.0
68d17789516f1ddb82e091e3,0,1600000.0
694001a7cd04d08be74b40d4,600,600000.0
693832b08914daae5198990a,0,1.0
6940008ecd04d08be74b4020,0,950000.0
67a32861ecbb2843cb40a88b,0,985000.0
68ce8e4f07c7711d7c712a98,0,750000.0
69400c988914daae519bbc86,0,2200000.0
6940462b8914daae519be18d,150,150.0
684717668bda81f7f5d8d543,0,1200000.0
694002e88914daae519bb687,0,950000.0
6939442bcd04d08be7488947,0,950000.0
6940221f8914daae519bcb12,185000,185000.0
694013b6cd04d08be74b4c56,0,1.0
68e683a4e7035d31a41258b3,0,2400000.0
69402c04cd04d08be74b5d30,0,980.0
69249652265523b710eaebb2,0,0.0
68b81190711369bbe4f73ed8,0,1.0
685fb08194cd0376dccf9066,1350000,1350000.0
68dfa31ee7035d31a40e3df5,850000,850000.0
693fc91be922eb04d002c841,0,1111111.0
693f12fd8914daae519b675c,0,0.0
691c4878145e1617cba7e1e9,0,1.0
68c05825c4782c5427af7667,0,1000000.0
693ef349cd04d08be74addea,0,0.0
693ee732cd04d08be74ad72b,0,1.0
67712bb778b8a162a7740837,28343000,12345.0
693fcea38914daae519b9cbf,0,800000.0
693196f8145e1617cbb07c1c,0,1.0
693f54fdcd04d08be74b10bd,0,0.0
693fc3e08914daae519b9872,0,160.0
693fd9b1cd04d08be74b2cb6,0,120.0
693fca6ae922eb04d002c8c5,310000,310000.0
693fc58fcd04d08be74b245e,0,280000.0
68b86674df9d8936c105f40d,480,480000.0
693ff0298914daae519bacfa,0,1.0
693de9f68914daae519b034a,0,0.0
693e8fd9cd04d08be74aae1f,0,1.0
693ec06bcd04d08be74ac409,0,1800000.0
693e854ecd04d08be74aa9e0,0,790000.0
693ebe6f8914daae519b396d,0,570000.0
693dcb848914daae519af45c,560000,1.0
693dd4bc8914daae519af965,0,100000.0
693db4788914daae519ae6ca,430000,430.0
693ed6b18914daae519b4524,0,275.0
6932bda7cd04d08be745c789,0,1.0
6920431d265523b710e8e670,280000,280000.0
690dce53145e1617cb9e7f95,0,366000.0
67ee67e6ca3467b14e72c4cc,1800000,1599998.0
689f30d6ccec382a0d6d176d,640000,640000.0
68ee203f53fa6375757c15f1,0,1380000.0
69305bc0145e1617cbafffbd,870000,870000.0
6891d0d54ad00efe9738e0e8,680000,680000.0
6939864acd04d08be748b260,300000,300.0
693d5c84cd04d08be74a46fe,0,0.0
6828550241532c94f15b5b2e,0,1300000.0
693d3c08cd04d08be74a38bb,0,3000000.0
685299e70e1c20e3eb0cda87,680000,680000.0
693c0d028914daae519a37e2,890,850000.0
693c71488914daae519a763d,0,0.9
693c3e998914daae519a586f,0,0.0
693c281ecd04d08be749d527,310,310000.0
692eb18a145e1617cbaf3567,375000,375000.0
693c69a4cd04d08be749fc98,0,0.0
693c6e188914daae519a7449,0,0.0
6911f8e6145e1617cba291cb,0,870000.0
693c0956cd04d08be749c105,0,1000000049.0
693c520e8914daae519a643e,668000000,668000000.0
693d1bcd8914daae519a9f96,0,1111.0
692abab2265523b710ecfebc,450000,450000.0
693bce6dcd04d08be7499c75,260000,260000.0
693af444cd04d08be7495360,0,480000.0
693c06ebcd04d08be749bfac,0,600.0
693bebbccd04d08be749aeee,170000,170000.0
693bc7828914daae519a0e4c,130000,130000.0
693bc781cd04d08be749995f,420000,420000.0
693a81f8cd04d08be7491013,950000,950000.0
69395d0c8914daae51991080,0,0.0
6900d307d0d95991e106dba4,300000,300000.0
69009424d0d95991e106a719,0,720000.0
692459a0da5d3acb89b341ae,890000,890000.0
693ad2c08914daae5199b6a9,470000,470000.0
693ad8088914daae5199b95f,0,985000.0
68c984c507c7711d7c6e21c2,0,0.0
66fc28c6e8a80c9b9f730629,0,0.0
693a8e1d8914daae51998c51,300000,300000.0
692da41b145e1617cbaed2af,0,539994.0
691eeccc145e1617cba90f31,730000,730000.0
680630c6c5beda2b51cbedc2,0,1475.0
691499d9145e1617cba42dbe,0,320000.0
693a8d8b8914daae51998bf6,850000,850000.0
685d58a1d5464a896c9bd0a3,0,0.0
69394192cd04d08be7488765,0,680.0
68e22d456c505afdc05e9d51,0,2190.0
68e92e5b3e7ffb8ac15808c0,0,450000.0
693941cecd04d08be7488797,0,0.0
693963378914daae519913e5,0,400000.0
6935c1bdcd04d08be7470136,95000,95000.0
692eaaaa265523b710ee5b5c,0,799999.0
6939471dcd04d08be7488b54,0,149.0
673362ea0d8480a1e00c85b5,1150000,1150000.0
69394907cd04d08be7488ca3,1750000,1750000.0
6939a5edcd04d08be748c43c,0,600000.0
68e3fc1f6c505afdc05fc112,0,580000.0
69398de6cd04d08be748b6b7,0,0.0
691d9971265523b710e79094,0,360000.0
69393c188914daae5198fb28,0,155000.0
69398fdecd04d08be748b7c9,0,600.0
6939a553cd04d08be748c3f2,0,162000.0
6937fe5b8914daae51987338,440000,440000.0
69385548cd04d08be7483737,0,800.0
691319b8265523b710e2749f,850000,850000.0
6938324f8914daae519898bc,0,300.0
69381969cd04d08be7480d0c,0,850000.0
693825f28914daae51988f94,1500000000,1.5
69382d6f8914daae5198952b,340000,0.0
6938471ecd04d08be7482f68,0,1.0
679b9e4ea487ea2259c19664,675000,675000.0
6938116bcd04d08be7480877,250000,220000.0
693700498914daae51980ae3,399,399.0
69370d288914daae51981362,0,450000.0
69258e3d145e1617cbac0f6b,0,190000.0
6936d4da8914daae5197e9a0,370000,370000.0
6936ced68914daae5197e516,0,0.0
69174ccd145e1617cba59947,0,0.0
6937ecf0cd04d08be747eba7,0,380000.0
6936faa1cd04d08be7478d4c,170000,170000.0
682dddb76238a0abfdd47200,1600000,1600000.0
6936f59f8914daae519803e3,1450000,1450000.0
69370216cd04d08be7479193,3.5,3500000.0
69373412cd04d08be747b3cc,0,2.0
6937f327cd04d08be747f032,0,600000.0
69365de08914daae5197ac4c,0,600000.0
66db19c667b755ba921ac4d8,0,480000.0
6936a917cd04d08be7475133,0,1300000.0
6935e7c78914daae5197931d,400000,480.0
6936c522cd04d08be7476417,0,800000.0
69365ef88914daae5197ac72,616000,620000.0
69369cf68914daae5197c350,0,800000.0
69365d4a8914daae5197ac37,0,5400000.0
6935bdff8914daae51977a37,1200000,1200000.0
6935f70bcd04d08be7472086,0,0.0
6935edd28914daae519796ac,0,295000.0
67cacfdf93928ac5bc1870c5,750000,750000.0
67361b153c20a99fb5500bb2,790000,790000.0
693629bacd04d08be7472d30,0,529996.0
6935d3d78914daae519785cd,0,260.0
68c80044516f1ddb82da9b6d,0,650000.0
692f0719265523b710ee9780,0,0.0
6934abaccd04d08be746a6f8,0,650000.0
693461288914daae5196f842,150000000,150.0
693413c1cd04d08be74654cf,0,1.0
69342aef8914daae5196dc8d,0,1100.0
68f62050b756576ab404a7a8,980000,980000.0
693546fc8914daae5197407e,850,780000.0
685030018bda81f7f5ddf6f6,0,850000.0
6821ba04cb21b3571b421a9a,0,1600000.0
685128450e1c20e3eb0bd78a,0,3099998.0
69356aa68914daae519750b5,1500,1500.0
6918395e265523b710e526af,0,1990000.0
6935bb7e8914daae5197791c,0,86.0
69357498cd04d08be746d9ec,0,700.0
69276a02145e1617cbacb81e,0,600000.0
693418f5cd04d08be7465750,130,130.0
69346bdbcd04d08be74682d2,195,195.0
68ef91573e7ffb8ac15b77d6,0,380000.0
6932e54a8914daae5196574e,0,680000.0
68e9206653fa6375757974f1,340000,340000.0
69340d108914daae5196cc5d,270000,270000.0
68f383fbd0d95991e1ff9b74,0,1000000.0
69189dc6265523b710e5608c,0,1900000.0
6932dc1dcd04d08be745d8a3,200000000,200.0
6932bdafcd04d08be745c78e,0,270000.0
693303938914daae51966a03,0,250000.0
68bf01fdc4782c5427ae9adc,0,695000.0
693306dccd04d08be745f2ac,390000,390000.0
68bc3f47985e647fd0e8f49d,0,450000.0
69330ba1cd04d08be745f52a,0,250.0
69208ebf145e1617cba9f0e6,0,320000.0
6933f808cd04d08be7464553,0,230.0
6932da50cd04d08be745d78c,200000000,200.0
69340e6dcd04d08be74651ed,630000,630000.0
691eeb2c265523b710e8392c,0,1.0
68de3a416c505afdc05c7c2d,1900000,1900000.0
693141d1145e1617cbb0472b,350,349999.0
69315435145e1617cbb05082,0,240.0
