id,surface_df_results,surface_df_final
692459a0da5d3acb89b341ae,781.0,781.0
693ad2c08914daae5199b6a9,150.0,150.0
693ad8088914daae5199b95f,200.0,546.0
68c984c507c7711d7c6e21c2,390.0,300.0
66fc28c6e8a80c9b9f730629,450.0,600.0
693a8e1d8914daae51998c51,0.0,150.0
692da41b145e1617cbaed2af,128.57,128.57
691eeccc145e1617cba90f31,330.0,330.0
680630c6c5beda2b51cbedc2,578.0,600.0
691499d9145e1617cba42dbe,307.0,307.0
693a8d8b8914daae51998bf6,404.0,404.0
685d58a1d5464a896c9bd0a3,600.0,10000.0
69394192cd04d08be7488765,0.0,217.0
68e22d456c505afdc05e9d51,0.0,180.0
68e92e5b3e7ffb8ac15808c0,160.0,149.0
693941cecd04d08be7488797,394.0,394.0
693963378914daae519913e5,0.0,220.0
6935c1bdcd04d08be7470136,50.0,50.0
692eaaaa265523b710ee5b5c,413.0,413.0
6939471dcd04d08be7488b54,0.0,100.0
673362ea0d8480a1e00c85b5,327.0,327.0
69394907cd04d08be7488ca3,0.0,637.0
6939a5edcd04d08be748c43c,180.0,500.0
68e3fc1f6c505afdc05fc112,0.0,486.0
69398de6cd04d08be748b6b7,160.0,160.0
691d9971265523b710e79094,0.0,150.0
69393c188914daae5198fb28,0.0,130.0
69398fdecd04d08be748b7c9,0.0,240.0
6939a553cd04d08be748c3f2,200.0,200.0
6937fe5b8914daae51987338,388.0,388.0
69385548cd04d08be7483737,0.0,200.0
691319b8265523b710e2749f,350.0,305.0
6938324f8914daae519898bc,0.0,170.0
69381969cd04d08be7480d0c,291.0,291.0
693825f28914daae51988f94,0.0,453.0
69382d6f8914daae5198952b,180.0,180.0
6938471ecd04d08be7482f68,0.0,500.0
679b9e4ea487ea2259c19664,423.0,423.0
6938116bcd04d08be7480877,306.0,306.0
693700498914daae51980ae3,124.0,124.0
69370d288914daae51981362,0.0,250.0
69258e3d145e1617cbac0f6b,120.0,120.0
6936d4da8914daae5197e9a0,317.0,317.0
6936ced68914daae5197e516,0.0,1100.0
69174ccd145e1617cba59947,195.0,180.0
6937ecf0cd04d08be747eba7,0.0,168.0
6936faa1cd04d08be7478d4c,131.0,131.0
682dddb76238a0abfdd47200,491.0,491.0
6936f59f8914daae519803e3,250.0,130.0
69370216cd04d08be7479193,957.0,957.0
69373412cd04d08be747b3cc,270.0,270.0
6937f327cd04d08be747f032,120.0,465.0
69365de08914daae5197ac4c,270.0,270.0
66db19c667b755ba921ac4d8,350.0,185.0
6936a917cd04d08be7475133,0.0,292.0
6935e7c78914daae5197931d,400.0,400.0
6936c522cd04d08be7476417,225.0,225.0
69365ef88914daae5197ac72,560.0,560.0
69369cf68914daae5197c350,0.0,413.0
69365d4a8914daae5197ac37,795.0,795.0
6935bdff8914daae51977a37,240.0,690.0
6935f70bcd04d08be7472086,402.0,402.0
6935edd28914daae519796ac,0.0,200.0
67cacfdf93928ac5bc1870c5,400.0,597.0
67361b153c20a99fb5500bb2,300.0,418.0
693629bacd04d08be7472d30,150.0,300.0
6935d3d78914daae519785cd,420.0,100.0
68c80044516f1ddb82da9b6d,514.0,520.0
692f0719265523b710ee9780,260.0,440.0
6934abaccd04d08be746a6f8,300.0,500.0
693461288914daae5196f842,106.0,106.0
693413c1cd04d08be74654cf,175.0,175.0
69342aef8914daae5196dc8d,0.0,600.0
68f62050b756576ab404a7a8,480.0,480.0
693546fc8914daae5197407e,380.0,380.0
685030018bda81f7f5ddf6f6,503.0,450.0
6821ba04cb21b3571b421a9a,150.0,450.0
685128450e1c20e3eb0bd78a,672.0,672.0
69356aa68914daae519750b5,0.0,1.0
6918395e265523b710e526af,500.0,450.0
6935bb7e8914daae5197791c,220.0,220.0
69357498cd04d08be746d9ec,0.0,217.0
69276a02145e1617cbacb81e,158.0,158.0
693418f5cd04d08be7465750,100.0,1.0
69346bdbcd04d08be74682d2,161.0,161.0
68ef91573e7ffb8ac15b77d6,0.0,441.0
6932e54a8914daae5196574e,307.0,307.0
68e9206653fa6375757974f1,180.0,180.0
69340d108914daae5196cc5d,130.0,130.0
68f383fbd0d95991e1ff9b74,672.0,672.0
69189dc6265523b710e5608c,0.0,502.0
6932dc1dcd04d08be745d8a3,100.0,100.0
6932bdafcd04d08be745c78e,160.0,220.0
693303938914daae51966a03,190.0,190.0
68bf01fdc4782c5427ae9adc,480.0,480.0
693306dccd04d08be745f2ac,0.0,140.0
68bc3f47985e647fd0e8f49d,355.0,355.0
69330ba1cd04d08be745f52a,160.0,160.0
69208ebf145e1617cba9f0e6,0.0,180.0
6933f808cd04d08be7464553,0.0,150.0
6932da50cd04d08be745d78c,100.0,100.0
69340e6dcd04d08be74651ed,417.0,417.0
691eeb2c265523b710e8392c,540.0,540.0
68de3a416c505afdc05c7c2d,500.0,500.0
693141d1145e1617cbb0472b,220.0,220.0
69315435145e1617cbb05082,105.0,105.0
68d65b35516f1ddb82e377c8,711.0,711.0
6931d331265523b710efc8cc,240.0,300.0
6931a7d5265523b710efb2d3,122.0,122.0
69314f65145e1617cbb04dc1,0.0,65.0
6931ddc3145e1617cbb0a052,0.0,400.0
6931d371265523b710efc8f0,240.0,300.0
693191a2265523b710efa62c,320.0,400.0
6931aaee145e1617cbb087a0,700.0,700.0
692d5781145e1617cbaea371,385.0,385.0
6931ab9a145e1617cbb08809,240.0,240.0
69300eb9265523b710eefd9b,380.0,380.0
68e0d4c7e7035d31a40eedf4,220.0,70.0
693063ed265523b710ef3021,0.0,1.0
685455d38a733cfc286ebd5d,0.0,140.0
69302a82145e1617cbafe305,105.0,105.0
69304fb2265523b710ef24a2,500.0,500.0
68bc5851c4782c5427ad08da,0.0,411.0
692f7038145e1617cbafa5a6,80.0,80.0
692d544a265523b710edcbd9,0.0,400.0
69301d87265523b710ef07fe,0.0,200.0
692f79f1265523b710eed34b,120.0,120.0
692f251b145e1617cbaf7dba,550.0,498.0
6930e3f9145e1617cbb038f7,880.0,880.0
68ce751407c7711d7c71145a,238.0,416.0
692f054b145e1617cbaf6b1b,180.0,400.0
693066c1145e1617cbb0054b,0.0,240.0
692efe80265523b710ee91ba,400.0,400.0
692d7f70145e1617cbaebcc8,387.0,387.0
692dbcf2145e1617cbaee11b,900.0,900.0
692ecf0d145e1617cbaf4998,0.0,300.0
692eab23145e1617cbaf315c,540.0,600.0
6924415eda5d3acb89b3377a,303.0,303.0
692db450265523b710ee05c0,320.0,320.0
692ee5ff265523b710ee8193,1000.0,4000.0
68fb870bd0d95991e10411da,280.0,280.0
692dd570145e1617cbaeeefd,0.0,110.0
692d69a6265523b710edd899,300.0,4.0
691f82c8145e1617cba97c87,0.0,200.0
692d7f45265523b710ede679,180.0,400.0
692eac31145e1617cbaf3205,131.0,131.0
692d7d8a265523b710ede565,0.0,312.0
692dba9f265523b710ee09ad,415.0,415.0
692d57e0265523b710edcd57,185.0,185.0
69023361d0d95991e107a24e,250.0,250.0
692c58f4145e1617cbae5b27,0.0,265.0
692c366f145e1617cbae4c59,0.0,5.0
692ae766265523b710ed14af,120.0,120.0
69244122145e1617cbab9bea,0.0,250.0
692c96b7265523b710ed9e4b,630.0,2500.0
692c3a2d145e1617cbae4e4e,0.0,110.0
692c7b373f69a851e0bb46f6,0.0,
690a2e8e6490817594e37938,240.0,312.0
692b543c145e1617cbae18b7,0.0,0.0
68deb88a6c505afdc05cbd39,544.0,544.0
692c34c13872f35e61c47bf9,0.0,395.0
692b6623145e1617cbae1f36,147.0,126.0
692c5102265523b710ed81a1,0.0,230.0
692c3a30265523b710ed7815,300.0,300.0
692c7acc145e1617cbae686e,510.0,510.0
692c5f46265523b710ed87d0,300.0,500.0
692c3a86265523b710ed783a,517.0,517.0
6913a608145e1617cba3b68f,230.0,180.0
6711244e1cde9a414fa9438c,443.0,443.0
6929f0a6265523b710ecc5e6,200.0,200.0
69221023145e1617cbaa981b,246.0,246.0
6929822e145e1617cbad6a9d,0.0,378.0
67b83bbbbf049e957eabc6ff,260.0,350.0
6929ab43f6824a8059169b08,0.0,312.0
687237fed5464a896ca9c97d,300.0,500.0
681f3268a9299683d0a944d0,143.0,143.0
6929d4b9145e1617cbad90e4,0.0,299.0
6929e4c2265523b710ecc196,0.0,200.0
68da6ea974e03a77e7ab8414,400.0,400.0
68023682c1f8f57898db1d01,575.0,575.0
68e52f0fe7035d31a41187b4,345.0,345.0
691d77e8265523b710e77703,0.0,280.0
692ac16d265523b710ed0210,800.0,1220.0
6929a2287c1b75e049921517,100.0,150.0
69289a3b265523b710ec4739,500.0,500.0
690b66948e4e0e4acb5ddcfa,634.0,634.0
68d3fad507c7711d7c74a01a,200.0,395.0
69295c0c145e1617cbad57ca,0.0,477.0
68b0848a82a3d05f2394ce9b,180.0,180.0
6929020b145e1617cbad4952,230.0,449.0
692883d9465e3fc37e6e85d3,0.0,480.0
6928761a265523b710ec3550,170.0,170.0
69273820145e1617cbaca2eb,0.0,498.0
69280ffb265523b710ec0673,0.0,2500.0
692733bd265523b710ebc9a1,184.0,184.0
6926055d145e1617cbac456f,100.0,100.0
69272fd8265523b710ebc816,160.0,160.0
69282dee265523b710ec164b,480.0,480.0
687907d5d5464a896caec9be,450.0,450.0
692750c1265523b710ebd53d,0.0,120.0
6911f87a145e1617cba29128,0.0,245.0
6926c6d6265523b710eb9996,0.0,85.0
69245c18265523b710eacfb7,0.0,170.0
6925b7ee265523b710eb4afb,0.0,
68714f13d5464a896ca94e2b,0.0,336.0
6924d0df145e1617cbabdcac,208.0,208.0
6924a80a6e0dc7ea5e33db7f,280.0,764.0
69248e2e145e1617cbabbf4d,0.0,100.0
692479bdda5d3acb89b35102,0.0,265.0
692588bf9ae0bfe01c80f03a,0.0,498.0
6925c6ca145e1617cbac2a33,0.0,200.0
69257b7f265523b710eb2e41,128.0,128.0
6924c483145e1617cbabd730,0.0,160.0
68cc022f07c7711d7c6f9bbc,250.0,400.0
69258131c988d694371576d3,0.0,413.0
69208016265523b710e910ad,450.0,450.0
6925cae5265523b710eb53c8,140.0,140.0
691d98c8265523b710e79005,320.0,465.0
692456fe145e1617cbaba560,300.0,300.0
69233b04265523b710ea494c,140.0,140.0
6924295a265523b710eab74d,340.0,218.0
690f55a6145e1617cba01645,0.0,284.0
6921e69d265523b710e9a9c9,100.0,100.0
6922ce19265523b710e9ffaa,180.0,480.0
69232d0b265523b710ea4000,0.0,
6922e924265523b710ea11e8,485.0,485.0
6921f784145e1617cbaa89ff,0.0,76950.0
6922fd00265523b710ea1f6f,170.0,170.0
6922fd3b265523b710ea1f87,0.0,200.0
68d5810107c7711d7c7592a3,350.0,500.0
6923416c145e1617cbab242d,0.0,7.0
6923254e145e1617cbab111b,0.0,90.0
68d7d777516f1ddb82e469fe,125.0,125.0
6807ce86c5beda2b51cd3ea9,110.0,227.0
69206796145e1617cba9d34a,0.0,135.0
69203646265523b710e8dd69,440.0,440.0
69204a01145e1617cba9c155,330.0,237.0
67e133cbca3467b14e6bbf19,470.0,500.0
68c54779e33e2deec930a3a7,325.0,325.0
690f4918145e1617cba00725,0.0,180.0
685acae7d5464a896c9a33e8,615.0,615.0
69208d23265523b710e91ab5,0.0,600.0
692159df145e1617cbaa3b9b,0.0,80.0
68c67604516f1ddb82d9aed5,560.0,740.0
680cec92c1f8f57898e2b0ad,485.0,556.0
69201720145e1617cba99f46,1150.0,1150.0
69202ea9265523b710e8d6d2,430.0,430.0
691ee542145e1617cba9091a,150.0,240.0
687e457bd5464a896cb25ddf,420.0,500.0
691f6712145e1617cba969fe,0.0,120.0
68d169e607c7711d7c730412,400.0,1250.0
691e3430265523b710e7f72c,0.0,60.0
691e9ee2265523b710e81410,0.0,184.0
68e0ed05e7035d31a40efdc3,348.0,348.0
691f3f6b265523b710e876ef,300.0,300.0
67e8801cfd1c6385be402a99,450.0,612.0
68dabe27516f1ddb82e61aa0,0.0,343.0
691df5be265523b710e7cd6c,400.0,400.0
691de5be145e1617cba89674,0.0,705.0
691daadd145e1617cba86e7c,380.0,380.0
691cb0eb265523b710e737df,240.0,420.0
68ac333f032c2f257217fe08,312.0,312.0
691ca55f265523b710e73151,315.0,315.0
691df9f0265523b710e7d00b,130.0,150.0
691cd6fc265523b710e74d62,120.0,120.0
68c034e3985e647fd0eb576f,220.0,220.0
691da0284730c4e48bb141f7,547.0,504.0
691ca173265523b710e72f51,220.0,220.0
691d93f3145e1617cba85eae,0.0,187.0
68dab54c07c7711d7c789803,270.0,500.0
691c9da5145e1617cba80263,100.0,150.0
691d7dee265523b710e77a98,0.0,300.0
691b71ba145e1617cba78fc6,529.0,529.0
691c66e8145e1617cba7f06d,190.0,190.0
68e6781ee7035d31a4124dce,0.0,200.0
68b859b1df9d8936c105e877,0.0,323.0
691b50ef145e1617cba77c19,79.0,297.0
691b49bd265523b710e6a2aa,0.0,404.0
6877602dd5464a896cad6946,0.0,339.0
691ba5e0145e1617cba7b0b0,0.0,316.0
691b6999265523b710e6b567,0.0,124.0
691ad3e3265523b710e64bd8,100.0,100.0
691a3085265523b710e61b71,365.0,518.0
6919d354145e1617cba6b13a,100.0,300.0
6919f17a145e1617cba6c3ee,142.0,142.0
6919be9c145e1617cba6a521,0.0,92.0
68f3ccbfd0d95991e1ffc96b,0.0,160.0
6839b4f8a2a7af1206228b9f,115.0,115.0
691aeb06145e1617cba73050,0.0,190.0
691a0161265523b710e5f89b,245.0,380.0
68ed15b33e7ffb8ac15a1513,118.0,118.0
6919d1bf265523b710e5dc28,0.0,120.0
691b2548145e1617cba75c19,0.0,179.0
6909be168e4e0e4acb5ce594,317.0,137.0
691a1b8c145e1617cba6df86,400.0,400.0
691a0b16145e1617cba6d3a1,1280.0,1280.0
691777ad145e1617cba5b4eb,115.0,115.0
6918c4d9145e1617cba64b76,200.0,
69184844145e1617cba60458,120.0,162.0
69178fb6145e1617cba5c754,121.0,121.0
691740a9265523b710e4b921,0.0,200.0
6918c609145e1617cba64c1a,94.0,94.0
6917d30e265523b710e51188,220.0,220.0
681c7882c5beda2b51db4243,0.0,300.0
691777f5145e1617cba5b51d,100.0,100.0
69177e1a265523b710e4e427,130.0,140.0
6918f129265523b710e59284,0.0,200.0
687901c9d5464a896caec3f1,322.0,190.0
69173e59145e1617cba58d45,0.0,200.0
69170738145e1617cba56486,204.0,204.0
691605d5145e1617cba4edf4,220.0,500.0
69173c4d265523b710e4b581,70.0,70.0
69162d69145e1617cba50a7f,164.0,164.0
69166cf3145e1617cba52f5d,80.0,80.0
6916ed63265523b710e47ac7,344.0,344.0
691726bc145e1617cba57b16,350.0,350.0
6917009b265523b710e489dc,957.0,957.0
69173d90265523b710e4b6a1,0.0,360.0
6915f90f145e1617cba4e579,0.0,154.0
6916ec51265523b710e479ff,600.0,600.0
69161a87145e1617cba4fd40,0.0,200.0
68b5bc74711369bbe4f5d7db,388.0,388.0
68daba12516f1ddb82e61775,374.0,374.0
6915ea90265523b710e4032e,147.0,147.0
68dd52fd516f1ddb82e7adf0,500.0,500.0
69159097145e1617cba49533,0.0,179.0
6914f1ed145e1617cba46b99,0.0,100.0
6915ab57265523b710e3d255,0.0,400.0
6914de96145e1617cba45d2f,550.0,21901649.0
6915a1f6265523b710e3caaf,0.0,110.0
