id,nombre_des_salles_de_bains_df_results,nombre_des_salles_de_bains_df_final
690cdc4f8e4e0e4acb5ea2e7,0,2.0
68d17789516f1ddb82e091e3,0,3.0
694001a7cd04d08be74b40d4,2,3.0
693832b08914daae5198990a,2,2.0
6940008ecd04d08be74b4020,1,6.0
67a32861ecbb2843cb40a88b,2,3.0
68ce8e4f07c7711d7c712a98,1,4.0
69400c988914daae519bbc86,0,2.0
6940462b8914daae519be18d,2,2.0
684717668bda81f7f5d8d543,2,4.0
694002e88914daae519bb687,1,6.0
6939442bcd04d08be7488947,0,3.0
6940221f8914daae519bcb12,1,2.0
694013b6cd04d08be74b4c56,1,2.0
68e683a4e7035d31a41258b3,4,5.0
69402c04cd04d08be74b5d30,0,4.0
69249652265523b710eaebb2,0,3.0
68b81190711369bbe4f73ed8,3,4.0
685fb08194cd0376dccf9066,3,3.0
68dfa31ee7035d31a40e3df5,4,5.0
693fc91be922eb04d002c841,1,1.0
693f12fd8914daae519b675c,0,2.0
691c4878145e1617cba7e1e9,2,240.0
68c05825c4782c5427af7667,0,7.0
693ef349cd04d08be74addea,0,1.0
693ee732cd04d08be74ad72b,0,1.0
67712bb778b8a162a7740837,0,2.0
693fcea38914daae519b9cbf,0,3.0
693196f8145e1617cbb07c1c,2,7.0
693f54fdcd04d08be74b10bd,0,1.0
693fc3e08914daae519b9872,0,2.0
693fd9b1cd04d08be74b2cb6,0,1.0
693fca6ae922eb04d002c8c5,2,2.0
693fc58fcd04d08be74b245e,1,1.0
68b86674df9d8936c105f40d,1,1.0
693ff0298914daae519bacfa,1,2.0
693de9f68914daae519b034a,3,2.0
693e8fd9cd04d08be74aae1f,0,1.0
693ec06bcd04d08be74ac409,6,6.0
693e854ecd04d08be74aa9e0,0,4.0
693ebe6f8914daae519b396d,1,1.0
693dcb848914daae519af45c,0,2.0
693dd4bc8914daae519af965,0,1.0
693db4788914daae519ae6ca,0,1.0
693ed6b18914daae519b4524,0,2.0
6932bda7cd04d08be745c789,3,3.0
6920431d265523b710e8e670,1,1.0
690dce53145e1617cb9e7f95,0,2.0
67ee67e6ca3467b14e72c4cc,2,2.0
689f30d6ccec382a0d6d176d,0,3.0
68ee203f53fa6375757c15f1,2,3.0
69305bc0145e1617cbafffbd,0,4.0
6891d0d54ad00efe9738e0e8,1,3.0
6939864acd04d08be748b260,2,2.0
693d5c84cd04d08be74a46fe,0,1.0
6828550241532c94f15b5b2e,0,2.0
693d3c08cd04d08be74a38bb,0,3.0
685299e70e1c20e3eb0cda87,2,2.0
693c0d028914daae519a37e2,3,4.0
693c71488914daae519a763d,0,2.0
693c3e998914daae519a586f,0,2.0
693c281ecd04d08be749d527,0,3.0
692eb18a145e1617cbaf3567,1,2.0
693c69a4cd04d08be749fc98,0,11.0
693c6e188914daae519a7449,0,1.0
6911f8e6145e1617cba291cb,3,3.0
693c0956cd04d08be749c105,4,3.0
693c520e8914daae519a643e,0,2.0
693d1bcd8914daae519a9f96,0,2.0
692abab2265523b710ecfebc,0,2.0
693bce6dcd04d08be7499c75,1,1.0
693af444cd04d08be7495360,2,3.0
693c06ebcd04d08be749bfac,0,3.0
693bebbccd04d08be749aeee,0,2.0
693bc7828914daae519a0e4c,2,1.0
693bc781cd04d08be749995f,2,1.0
693a81f8cd04d08be7491013,5,6.0
69395d0c8914daae51991080,0,4.0
6900d307d0d95991e106dba4,1,2.0
69009424d0d95991e106a719,3,4.0
692459a0da5d3acb89b341ae,2,2.0
693ad2c08914daae5199b6a9,2,3.0
693ad8088914daae5199b95f,2,2.0
68c984c507c7711d7c6e21c2,3,3.0
66fc28c6e8a80c9b9f730629,3,4.0
693a8e1d8914daae51998c51,2,2.0
692da41b145e1617cbaed2af,1,2.0
691eeccc145e1617cba90f31,2,4.0
680630c6c5beda2b51cbedc2,0,3.0
691499d9145e1617cba42dbe,1,1.0
693a8d8b8914daae51998bf6,3,3.0
685d58a1d5464a896c9bd0a3,1,2.0
69394192cd04d08be7488765,0,1.0
68e22d456c505afdc05e9d51,2,2.0
68e92e5b3e7ffb8ac15808c0,2,3.0
693941cecd04d08be7488797,1,2.0
693963378914daae519913e5,0,1.0
6935c1bdcd04d08be7470136,1,1.0
692eaaaa265523b710ee5b5c,0,1.0
6939471dcd04d08be7488b54,0,2.0
673362ea0d8480a1e00c85b5,1,3.0
69394907cd04d08be7488ca3,0,3.0
6939a5edcd04d08be748c43c,0,2.0
68e3fc1f6c505afdc05fc112,2,2.0
69398de6cd04d08be748b6b7,0,1.0
691d9971265523b710e79094,1,2.0
69393c188914daae5198fb28,2,2.0
69398fdecd04d08be748b7c9,1,1.0
6939a553cd04d08be748c3f2,1,1.0
6937fe5b8914daae51987338,1,3.0
69385548cd04d08be7483737,1,1.0
691319b8265523b710e2749f,3,3.0
6938324f8914daae519898bc,0,2.0
69381969cd04d08be7480d0c,0,4.0
693825f28914daae51988f94,1,3.0
69382d6f8914daae5198952b,0,3.0
6938471ecd04d08be7482f68,2,3.0
679b9e4ea487ea2259c19664,2,3.0
6938116bcd04d08be7480877,1,1.0
693700498914daae51980ae3,2,1.0
69370d288914daae51981362,0,3.0
69258e3d145e1617cbac0f6b,1,1.0
6936d4da8914daae5197e9a0,0,2.0
6936ced68914daae5197e516,0,2.0
69174ccd145e1617cba59947,2,3.0
6937ecf0cd04d08be747eba7,2,2.0
6936faa1cd04d08be7478d4c,1,1.0
682dddb76238a0abfdd47200,2,2.0
6936f59f8914daae519803e3,4,1.0
69370216cd04d08be7479193,2,2.0
69373412cd04d08be747b3cc,1,1.0
6937f327cd04d08be747f032,0,1.0
69365de08914daae5197ac4c,0,3.0
66db19c667b755ba921ac4d8,3,4.0
6936a917cd04d08be7475133,4,5.0
6935e7c78914daae5197931d,1,1.0
6936c522cd04d08be7476417,2,2.0
69365ef88914daae5197ac72,0,1.0
69369cf68914daae5197c350,0,2.0
69365d4a8914daae5197ac37,0,2.0
6935bdff8914daae51977a37,1,2.0
6935f70bcd04d08be7472086,0,2.0
6935edd28914daae519796ac,1,3.0
67cacfdf93928ac5bc1870c5,4,2.0
67361b153c20a99fb5500bb2,2,4.0
693629bacd04d08be7472d30,1,2.0
6935d3d78914daae519785cd,2,1.0
68c80044516f1ddb82da9b6d,2,2.0
692f0719265523b710ee9780,0,2.0
6934abaccd04d08be746a6f8,0,4.0
693461288914daae5196f842,2,2.0
693413c1cd04d08be74654cf,0,1.0
69342aef8914daae5196dc8d,0,5.0
68f62050b756576ab404a7a8,2,1.0
693546fc8914daae5197407e,2,3.0
685030018bda81f7f5ddf6f6,5,4.0
6821ba04cb21b3571b421a9a,3,3.0
685128450e1c20e3eb0bd78a,5,3.0
69356aa68914daae519750b5,0,1.0
6918395e265523b710e526af,4,4.0
6935bb7e8914daae5197791c,0,1.0
69357498cd04d08be746d9ec,0,1.0
69276a02145e1617cbacb81e,2,2.0
693418f5cd04d08be7465750,2,2.0
69346bdbcd04d08be74682d2,1,1.0
68ef91573e7ffb8ac15b77d6,3,3.0
6932e54a8914daae5196574e,3,3.0
68e9206653fa6375757974f1,2,2.0
69340d108914daae5196cc5d,0,1.0
68f383fbd0d95991e1ff9b74,0,4.0
69189dc6265523b710e5608c,2,4.0
6932dc1dcd04d08be745d8a3,1,2.0
6932bdafcd04d08be745c78e,1,1.0
693303938914daae51966a03,1,1.0
68bf01fdc4782c5427ae9adc,0,4.0
693306dccd04d08be745f2ac,0,2.0
68bc3f47985e647fd0e8f49d,1,2.0
69330ba1cd04d08be745f52a,2,2.0
69208ebf145e1617cba9f0e6,0,2.0
6933f808cd04d08be7464553,0,2.0
6932da50cd04d08be745d78c,1,2.0
69340e6dcd04d08be74651ed,1,2.0
691eeb2c265523b710e8392c,2,3.0
68de3a416c505afdc05c7c2d,4,3.0
693141d1145e1617cbb0472b,1,1.0
69315435145e1617cbb05082,3,3.0
68d65b35516f1ddb82e377c8,7,7.0
6931d331265523b710efc8cc,0,2.0
6931a7d5265523b710efb2d3,1,1.0
69314f65145e1617cbb04dc1,1,1.0
6931ddc3145e1617cbb0a052,0,3.0
6931d371265523b710efc8f0,0,2.0
693191a2265523b710efa62c,3,2.0
6931aaee145e1617cbb087a0,0,4.0
692d5781145e1617cbaea371,1,2.0
6931ab9a145e1617cbb08809,0,1.0
69300eb9265523b710eefd9b,3,3.0
68e0d4c7e7035d31a40eedf4,2,4.0
693063ed265523b710ef3021,0,1.0
685455d38a733cfc286ebd5d,0,2.0
69302a82145e1617cbafe305,0,1.0
69304fb2265523b710ef24a2,3,3.0
68bc5851c4782c5427ad08da,2,2.0
692f7038145e1617cbafa5a6,0,2.0
692d544a265523b710edcbd9,0,5.0
69301d87265523b710ef07fe,1,4.0
692f79f1265523b710eed34b,1,2.0
692f251b145e1617cbaf7dba,4,2.0
6930e3f9145e1617cbb038f7,5,3.0
68ce751407c7711d7c71145a,4,1.0
692f054b145e1617cbaf6b1b,2,1.0
693066c1145e1617cbb0054b,0,8.0
692efe80265523b710ee91ba,1,1.0
692d7f70145e1617cbaebcc8,1,2.0
692dbcf2145e1617cbaee11b,6,7.0
692ecf0d145e1617cbaf4998,0,4.0
692eab23145e1617cbaf315c,5,5.0
6924415eda5d3acb89b3377a,3,5.0
692db450265523b710ee05c0,2,2.0
692ee5ff265523b710ee8193,0,4.0
68fb870bd0d95991e10411da,1,3.0
692dd570145e1617cbaeeefd,0,2.0
