,id,url,titre,categorie,gouvernorat,neuf,source
27,27,https://www.tayara.tn/item/maisons-et-villas/la-manouba/denden/maison-inachev-vendre/691499d9145e1617cba42dbe/,Maison Inachevé à Vendre,Maisons et Villas,La Manouba,False,tayara
28,28,https://www.tayara.tn/item/appartements/la-manouba/la-manouba/appartement-s3-vendre/685c41f9d5464a896c9b3793/,Appartement S+3 à Vendre,Appartements,La Manouba,False,tayara
29,29,https://www.tayara.tn/item/appartements/tunis/tunis/appartement-s3-vendre/68d920db07c7711d7c779d3b/,Appartement S+3 à Vendre,Appartements,tunis,False,tayara
30,30,https://www.tayara.tn/item/appartements/tunis/tunis/appartement-s2-ksar-sad/693995d38914daae519931f4/,Appartement S2 À Ksar Saïd,Appartements,tunis,False,tayara
31,31,https://www.tayara.tn/item/appartements/ariana/ennasr/-ennasr-1-appartement-s4-transform-en-s3-vendre/693aa9e5cd04d08be74928ab/,📍 ENNASR 1 – APPARTEMENT S+4 TRANSFORMÉ EN S+3 À VENDRE,Appartements,Ariana,False,tayara
32,32,https://www.tayara.tn/item/maisons-et-villas/nabeul/klibia/maison-r2-inacheve-cit-mirds-kelibia/677d6310b7de28167ed093df/,Maison R+2 inachevée à cité mirdès Kelibia,Maisons et Villas,Nabeul,False,tayara
33,33,https://www.tayara.tn/item/appartements/tunis/el-manar-2/-manar-2-appartement-s2-vendre/693aa9848914daae51999e90/,📍 MANAR 2 : APPARTEMENT S+2  À VENDRE,Appartements,Tunis,False,tayara
34,34,https://www.tayara.tn/item/appartements/sousse/sousse-corniche/a-vendre-s3-corniche-vue-de-mer-/6939ace0cd04d08be748c873/,A Vendre S+3 Corniche ( vue de mer ),Appartements,Sousse,False,tayara
35,35,https://www.tayara.tn/item/appartements/ariana/borj-louzir/borj-louzir-behi-el-adgham-appartement-s2-au-rezdechausse-a-vendre/693aa8e78914daae51999e23/,BORJ LOUZIR  BEHI EL ADGHAM: APPARTEMENT S+2  AU REZ-DE-CHAUSSÉE A VENDRE,Appartements,Ariana,False,tayara
36,36,https://www.tayara.tn/item/appartements/sousse/sousse-corniche/a-vendre-s2/693a90cf8914daae51998def/,A Vendre S+2,Appartements,Sousse,False,tayara
