url,title,price,location_time,category,seller
https://www.tayara.tn/item/appartements/tunis/l-aouina/-vendre-des-appartements-s2-s3-haut-standing-situs-la-nouvelle-soukra/693ab4cbcd04d08be7492eb7/,À VENDRE : Des appartements S+2 & S+3 Haut standing situés à La Nouvelle Soukra,,"Tunis, 33 minutes ago",Appartements,
https://www.tayara.tn/item/appartements/ariana/ghazela/ghazela-appartement-s3-a-vendre/693ab4b7cd04d08be7492eaf/,GHAZELA : APPARTEMENT S+3  A VENDRE,,"Ariana, 34 minutes ago",Appartements,
https://www.tayara.tn/item/appartements/ariana/cit-ennasr-2/ennasr-2-appartement-s3-vendre/693ab4a28914daae5199a4fd/,ENNASR 2 : APPARTEMENT S+3 À VENDRE,,"Ariana, 34 minutes ago",Appartements,
https://www.tayara.tn/item/maisons-et-villas/tunis/el-omrane/-opportunit-ne-pas-rater-france-ville-villa-s7-faisant-langle-vendre/693ab46ccd04d08be7492e8a/,"🛑 OPPORTUNITÉ NE PAS RATER 
📍 FRANCE VILLE – VILLA S+7 FAISANT L’ANGLE À VENDRE",,"Tunis, 35 minutes ago",Maisons et Villas,
https://www.tayara.tn/item/terrains-et-fermes/tunis/sjoumi/ferme-17-ha-a-tunis/66c48f6e860508809cffb92c/,FERME   17 ha   A  TUNIS,,"Tunis, 36 minutes ago",Terrains et Fermes,
https://www.tayara.tn/item/terrains-et-fermes/tunis/sjoumi/des-lots-de-01-ha/66c49180860508809cffbee2/,DES   LOTS DE   01 Ha,,"Tunis, 37 minutes ago",Terrains et Fermes,
https://www.tayara.tn/item/appartements/ariana/el-menzah-7/-7-/693ab3da8914daae5199a48d/,بدون وسيط بيع شقة بالمنزه 7 من المالك مباشرة,,"Ariana, 37 minutes ago",Appartements,
https://www.tayara.tn/item/appartements/tunis/la-marsa/vente-appartement-s3-a-la-marsa/692d8e39145e1617cbaec68e/,VENTE APPARTEMENT S+3 A LA MARSA,,"Tunis, an hour ago",Appartements,
https://www.tayara.tn/item/appartements/tunis/el-menzah-1/vente-appartement-s3-renov-a-el-menzah-1/693ab14f8914daae5199a33a/,VENTE APPARTEMENT S+3 RENOVÉ A EL MENZAH 1,,"Tunis, an hour ago",Appartements,
https://www.tayara.tn/item/appartements/monastir/monastir/appartement-s3-cit-el-agba/693a8f968914daae51998d2d/,Appartement S+3 à cité El Agba,,"Monastir, an hour ago",Appartements,
https://www.tayara.tn/item/appartements/tunis/ain-zaghouen/a-vendre-appartement-s2-a-ain-zaghouan/693ab040cd04d08be7492c71/,A vendre appartement s+2 a Ain zaghouan,,"Tunis, an hour ago",Appartements,
https://www.tayara.tn/item/appartements/la-manouba/la-manouba/appartement-s3-vendre/693aae7ccd04d08be7492b63/,Appartement S+3 à Vendre,,"La Manouba, an hour ago",Appartements,
https://www.tayara.tn/item/maisons-et-villas/la-manouba/denden/maison-inachev-vendre/691499d9145e1617cba42dbe/,Maison Inachevé à Vendre,,"La Manouba, an hour ago",Maisons et Villas,
https://www.tayara.tn/item/appartements/la-manouba/la-manouba/appartement-s3-vendre/685c41f9d5464a896c9b3793/,Appartement S+3 à Vendre,,"La Manouba, an hour ago",Appartements,
https://www.tayara.tn/item/appartements/tunis/tunis/appartement-s3-vendre/68d920db07c7711d7c779d3b/,Appartement S+3 à Vendre,,"tunis, an hour ago",Appartements,
https://www.tayara.tn/item/appartements/tunis/tunis/appartement-s2-ksar-sad/693995d38914daae519931f4/,Appartement S2 À Ksar Saïd,,"tunis, an hour ago",Appartements,
https://www.tayara.tn/item/magasins%2c-commerces-et-locaux-industriels/ben-arous/ezzahra/a-vendre-fonds-de-commerce-ezzahra/693aaa75cd04d08be7492901/,A VENDRE FONDS DE COMMERCE EZZAHRA,,"Ben Arous, an hour ago","Magasins, Commerces et Locaux industriels",
https://www.tayara.tn/item/appartements/ariana/ennasr/-ennasr-1-appartement-s4-transform-en-s3-vendre/693aa9e5cd04d08be74928ab/,📍 ENNASR 1 – APPARTEMENT S+4 TRANSFORMÉ EN S+3 À VENDRE,,"Ariana, an hour ago",Appartements,
https://www.tayara.tn/item/maisons-et-villas/nabeul/klibia/maison-r2-inacheve-cit-mirds-kelibia/677d6310b7de28167ed093df/,Maison R+2 inachevée à cité mirdès Kelibia,,"Nabeul, an hour ago",Maisons et Villas,
https://www.tayara.tn/item/terrains-et-fermes/ben-arous/ezzahra/a-vendre-terrain-a-ezzahra/693aa9aacd04d08be7492883/,A VENDRE TERRAIN A EZZAHRA,,"Ben Arous, an hour ago",Terrains et Fermes,
https://www.tayara.tn/item/appartements/tunis/el-manar-2/-manar-2-appartement-s2-vendre/693aa9848914daae51999e90/,📍 MANAR 2 : APPARTEMENT S+2  À VENDRE,,"Tunis, an hour ago",Appartements,
https://www.tayara.tn/item/magasins%2c-commerces-et-locaux-industriels/ben-arous/boumhel/a-vendre-fond-de-commerce-boumhel/693aa90ecd04d08be7492810/,A VENDRE FOND DE COMMERCE BOUMHEL,,"Ben Arous, an hour ago","Magasins, Commerces et Locaux industriels",
https://www.tayara.tn/item/appartements/sousse/sousse-corniche/a-vendre-s3-corniche-vue-de-mer-/6939ace0cd04d08be748c873/,A Vendre S+3 Corniche ( vue de mer ),,"Sousse, an hour ago",Appartements,
https://www.tayara.tn/item/appartements/ariana/borj-louzir/borj-louzir-behi-el-adgham-appartement-s2-au-rezdechausse-a-vendre/693aa8e78914daae51999e23/,BORJ LOUZIR  BEHI EL ADGHAM: APPARTEMENT S+2  AU REZ-DE-CHAUSSÉE A VENDRE,,"Ariana, an hour ago",Appartements,
https://www.tayara.tn/item/appartements/sousse/sousse-corniche/a-vendre-s2/693a90cf8914daae51998def/,A Vendre S+2,,"Sousse, an hour ago",Appartements,
https://www.tayara.tn/item/appartements/sousse/sousse-corniche/a-vendre-s2-corniche/693a8efe8914daae51998cd4/,A Vendre S+2 Corniche,,"Sousse, an hour ago",Appartements,
https://www.tayara.tn/item/appartements/sousse/sousse-corniche/a-vendre-s3-corniche/6939a7cecd04d08be748c561/,A Vendre S+3 Corniche,,"Sousse, an hour ago",Appartements,
https://www.tayara.tn/item/maisons-et-villas/tunis/le-kram/-vendre-villa-deux-tages-spars-kherredine-banlieue-nord-de-tunis/6939442bcd04d08be7488947/,"À vendre : Villa à deux étages séparés – Kherredine, banlieue nord de Tunis",,"Tunis, an hour ago",Maisons et Villas,
https://www.tayara.tn/item/appartements/sousse/chatt-mariem/appartement-vendre/691627c3145e1617cba5063b/,appartement à vendre,,"Sousse, an hour ago",Appartements,
https://www.tayara.tn/item/terrains-et-fermes/nabeul/hammamet/a-vendre-un-terrain-de-253m-sidi-hamed-hammamet-27246302/69356143cd04d08be746cff9/,A Vendre un Terrain de 253m² à Sidi Hamed Hammamet 27246302,,"Nabeul, an hour ago",Terrains et Fermes,
https://www.tayara.tn/item/appartements/sousse/sousse-corniche/a-vendre-s3-corniche/6939a5ffcd04d08be748c449/,A Vendre S+3 Corniche,,"Sousse, 2 hours ago",Appartements,
https://www.tayara.tn/item/appartements/sousse/sousse-corniche/a-vendre-s3-corniche/6939a0d9cd04d08be748c187/,A Vendre S+3 Corniche,,"Sousse, 2 hours ago",Appartements,
https://www.tayara.tn/item/appartements/sousse/sousse-corniche/a-vendre-s2-corniche/69399ba68914daae5199356c/,A Vendre S+2 Corniche,,"Sousse, 2 hours ago",Appartements,
https://www.tayara.tn/item/appartements/sousse/sousse-corniche/a-vendre-s2-sidi-abdelhmid/693a8ca4cd04d08be749159f/,A Vendre S+2 Sidi Abdelhmid,,"Sousse, 2 hours ago",Appartements,
https://www.tayara.tn/item/autres-immobiliers/sfax/route-de-laroport/dpt-vendre-route-matar-km7-sur-la-route-principale/693aa72d8914daae51999cf0/,Dépôt à vendre route Matar km7 sur la route principale,,"Sfax, 2 hours ago",Autres Immobiliers,
https://www.tayara.tn/item/appartements/tunis/tunis/a-vendre-s2-corniche/693998dfcd04d08be748bd1a/,A Vendre S+2 Corniche,,"tunis, 2 hours ago",Appartements,
https://www.tayara.tn/item/appartements/sousse/sousse-corniche/a-vendre-s2-corniche/6939976bcd04d08be748bc0f/,A Vendre S+2 Corniche,,"Sousse, 2 hours ago",Appartements,
https://www.tayara.tn/item/appartements/tunis/l-aouina/a-vendre-des-appartements-duplex-direct-promoteur-la-soukra/693aa6cd8914daae51999ca2/,A VENDRE : Des Appartements & Duplex – Direct Promoteur | La Soukra,,"Tunis, 2 hours ago",Appartements,
https://www.tayara.tn/item/appartements/tunis/l-aouina/-vendre-un-spacieux-appartement-s2-direct-promoteur-la-nouvelle-soukra/693aa6b9cd04d08be7492671/,À Vendre : Un spacieux appartement S+2 (Direct Promoteur) à La Nouvelle Soukra,,"Tunis, 2 hours ago",Appartements,
https://www.tayara.tn/item/appartements/sousse/sousse-corniche/a-vendre-un-spacieux-s3-sur-lavenue-taieb-mhiri/6925cdd3265523b710eb5552/,A vendre un spacieux s+3 sur l'avenue Taieb Mhiri,,"Sousse, 2 hours ago",Appartements,
https://www.tayara.tn/item/appartements/tunis/l-aouina/-vendre-des-appartements-s1-s2-et-s3-situs-la-nouvelle-soukra-direct-promoteur-/693aa68e8914daae51999c60/,"À VENDRE : Des appartements S+1, S+2 et S+3 situés à La Nouvelle Soukra ( Direct promoteur )",,"Tunis, 2 hours ago",Appartements,
https://www.tayara.tn/item/appartements/tunis/l-aouina/-vendre-des-appartements-s1-s2-s3-direct-promoteur-la-nouvelle-soukra/693aa6528914daae51999c29/,"À VENDRE : Des appartements S+1, S+2 & S+3 , (Direct Promoteur) à La Nouvelle Soukra",,"Tunis, 2 hours ago",Appartements,
https://www.tayara.tn/item/magasins%2c-commerces-et-locaux-industriels/tunis/montplaisir/-vendre-fond-de-commerce-librairie-papeterie-montplaisir-tunis/693127db265523b710ef6c4c/,"À Vendre : Fond de commerce – Librairie / Papeterie à Montplaisir, Tunis",,"Tunis, 2 hours ago","Magasins, Commerces et Locaux industriels",
https://www.tayara.tn/item/appartements/tunis/l-aouina/-vendre-des-appartements-s1-s2-s3-direct-promoteur-situ-cit-wahat/693aa5e4cd04d08be74925c2/,"À VENDRE : Des appartements S+1, S+2 & S+3 , (Direct Promoteur) situé à Cité Wahat.",,"Tunis, 2 hours ago",Appartements,
